Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0587,0.30162,4.1414,2.1163,1.0667,1.2143,6.1206,1.0801,0.5,0.20462,0.36035,0.44823,0.72801,0.0067487,0.012246
1.0412,0.24961,5.6261,2.7043,1.0516,1.5857,6.541,0.76412,0.625,0.21144,0.76754,0.76089,0.53852,0.0094649,0.0065174
0.97611,0.26432,7.5659,1.9251,0.99788,1.3527,5.9792,0.49814,0.5,0.14206,0.18736,0.36754,0.5,0.0018167,0.0081814
0.99334,0.42526,4.2642,0.75858,1.0619,1.5321,6.888,0.95805,0.75,0.34652,0.41619,0.47099,0.8124,0.0097567,0.013021
1.264,0.6267,2.796,1.9622,1.31,1.1777,7.9896,1.8249,1,0.36365,0.16985,0.33972,1.0488,0.021295,0.044863
1.0469,0.337,5.9937,2.7485,1.0786,1.4309,6.7258,0.91692,0.25,0.21018,0.4213,0.57862,0.64031,0.013607,0.013293
1.0672,0.38811,5.0022,1.1287,1.1076,1.2942,7.3879,0.90295,0.75,0.33265,0.31909,0.47445,0.86023,0.015049,0.017861
1.0887,0.28701,5.6212,0.88515,1.1075,1.7023,7.3479,0.80575,1,0.37721,0.59734,0.61685,0.7,0.0045057,0.0083947
1.0837,0.2406,7.5069,1.0696,1.0993,1.7194,7.5182,0.62458,0.5,0.22007,0.08764,0.27114,0.72111,0.0047825,0.0053535
1.164,0.47949,4.3696,2.1569,1.1919,1.2511,7.3112,1.5265,0.875,0.22743,0.62618,0.61724,0.64031,0.012391,0.025045
0.98571,0.33319,4.5146,1.0159,1.001,0.8853,5.4762,1.0497,0.625,0.54424,0.23859,0.37437,0.72111,0.0051397,0.014058
1.0958,0.26606,6.5872,1.4358,1.1078,1.4161,7.5737,0.83788,0.875,0.20682,0.42446,0.49558,0.67082,0.0094865,0.0082011
1.2041,0.41627,5.2361,1.4727,1.2364,1.4635,8.4763,1.0507,1,0.098924,0.2899,0.41749,0.64031,0.0056535,0.01658
0.84699,0.4191,5.2059,2.4813,0.91875,0.92539,5.0841,0.9947,0.75,0.29227,0.20704,0.46408,0.5831,0.018824,0.020052
1.2186,0.41208,4.4691,1.2637,1.236,1.7566,8.4663,1.168,0.625,0.33897,0.87918,0.88696,0.53852,0.01149,0.015018
1.1991,0.46291,3.8163,0.96101,1.2368,1.613,7.9282,1.2453,0.375,0.3792,0.2892,0.41191,0.31623,0.013226,0.024745
0.96466,0.32912,5.0596,0.58024,1.0051,1.3308,6.2918,0.84745,0.25,0.12988,0.55348,0.63352,0.42426,0.0094619,0.01212
0.93638,0.38123,4.3685,2.3601,0.98969,1.0177,5.8697,0.9196,0.25,0.20428,0.75099,0.72305,0.86603,0.013901,0.01328
1.2032,0.28144,6.96,1.1982,1.218,1.8635,8.7924,0.68995,1,0.58437,0.14727,0.40363,0.84853,0.0062755,0.0078535
1.1743,0.39124,4.4254,1.0369,1.1914,1.448,7.2505,1.1865,0.375,0.040378,0.42374,0.41542,0.53852,0.016525,0.014136
1.109,0.3212,5.1173,1.4688,1.1249,1.4952,7.0835,0.88939,0.375,0.27326,0.29164,0.30579,0.5831,0.013176,0.01121
1.1079,0.3478,5.2515,1.2608,1.132,1.3357,7.1564,0.9317,0.75,0.18204,0.19974,0.40169,0.5831,0.01195,0.011165
1.0042,0.37639,3.9224,0.97959,1.0249,0.74997,5.7231,1.3248,0.5,0.14085,0.39626,0.45837,0.64031,0.010761,0.019787
1.16,0.43209,3.7529,0.36772,1.1707,0.63994,7.3752,1.5546,0.625,0.13065,0.19058,0.37455,0.53852,0.013282,0.022232
1.0883,0.54883,3.3615,1.4384,1.1337,0.60296,6.398,1.3443,0.75,0.42668,0.29046,0.42904,0.86023,0.020841,0.035348
1.1148,0.32569,5.3592,0.57141,1.1366,1.4127,7.7859,0.81141,1,0.32805,0.13418,0.45275,0.67082,0.013667,0.011632
1.0706,0.43947,4.92,1.7607,1.1158,1.231,7.0272,1.0747,0.625,0.075641,0.38749,0.50414,0.5831,0.022541,0.022889
1.1427,0.36366,5.3192,1.4373,1.1649,1.352,7.3513,1.1751,0.375,0.43033,0.25598,0.37316,0.78102,0.0046498,0.016536
1.0933,0.34301,6.3893,1.8157,1.127,1.5346,7.5318,0.82207,0.375,0.20079,0.30469,0.43251,0.70711,0.0049018,0.014661
1.0929,0.25167,6.7684,1.7954,1.1025,1.6562,6.9241,0.71412,1,0.31462,0.29529,0.36616,0.78102,0.0079904,0.007159
0.96087,0.41919,3.8103,0.67581,1.0084,0.81714,5.7573,1.2498,0.625,0.203,0.64363,0.67349,0.64031,0.0091369,0.01773
1.0752,0.26467,7.7431,0.95239,1.0987,1.7273,7.7357,0.53366,0.875,0.56363,0.18163,0.33709,0.36056,0.00617,0.0041129
