x,y,z,class
-0.2,-1.26,0.044,Cycling
-0.24,-1.032,0.12,Cycling
-0.276,-1.188,0.112,Cycling
-0.024,-1.192,0.16,Cycling
-0.116,-0.648,0,Cycling
0,-1.196,-0.008,Cycling
-0.228,-1.04,0.124,Cycling
-0.108,-1.016,0.052,Cycling
-0.156,-0.688,-0.1,Cycling
-0.048,-0.516,0.112,Cycling
-0.232,-1.012,0.008,Cycling
-0.108,-1.244,0.128,Cycling
-0.188,-1.064,0.02,Cycling
-0.18,-1.4,0.108,Cycling
-0.244,-1.04,0.164,Cycling
-0.168,-0.896,0.06,Cycling
-0.052,-0.88,-0.036,Cycling
-0.16,-0.9,0.14,Cycling
-0.248,-1.308,0.128,Cycling
-0.068,-0.704,0.02,Cycling
-0.236,-0.988,0.096,Cycling
-0.264,-1.588,0.068,Cycling
-0.072,-0.736,0.012,Cycling
-0.136,-0.628,0.044,Cycling
-0.028,-0.808,0.192,Cycling
-0.188,-0.932,0.136,Cycling
0.1,-0.96,0.072,Cycling
0.108,-1.292,0.18,Cycling
-0.148,-0.824,-0.088,Cycling
-0.044,-0.812,0.168,Cycling
-0.184,-1.124,0.18,Cycling
0.012,-0.916,0.004,Cycling
-0.156,-1.26,0.096,Cycling
-0.272,-1.288,0.224,Cycling
0.032,-1.056,-0.052,Cycling
-0.124,-0.84,0.052,Cycling
-0.472,-1.372,0.304,Cycling
-0.256,-1.428,0.392,Cycling
-0.076,-0.84,0.068,Cycling
-0.368,-1.056,0.184,Cycling
-0.064,-1.18,0.192,Cycling
-0.188,-1.128,0.196,Cycling
-0.252,-1.04,0.192,Cycling
0.152,-1.036,0.116,Cycling
-0.16,-1.04,0.38,Cycling
-0.236,-0.848,0.06,Cycling
-0.148,-0.816,0.016,Cycling
0.184,-1.02,0.032,Cycling
-0.196,-1.232,0.352,Cycling
-0.144,-0.86,0.06,Cycling
-0.092,-1.088,0.192,Cycling
-0.32,-1.22,0.316,Cycling
-0.172,-0.988,0.104,Cycling
-0.056,-1.304,0.14,Cycling
0.196,-0.968,0.024,Cycling
-0.092,-0.8,0.02,Cycling
-0.172,-1.004,0.02,Cycling
0.24,-1.292,0.104,Cycling
-0.316,-0.948,0.04,Cycling
-0.148,-0.828,0.156,Cycling
-0.268,-0.696,0.176,Cycling
-0.24,-1.476,0.256,Cycling
-0.084,-0.988,0.112,Cycling
0.06,-1.176,0.112,Cycling
0.08,-0.956,0.024,Cycling
-0.136,-1.184,0.148,Cycling
-0.104,-1.52,0.248,Cycling
-0.244,-1.016,0,Cycling
-0.136,-1,0.064,Cycling
-0.072,-1.204,0.208,Cycling
-0.096,-1.224,0.184,Cycling
-0.224,-0.904,0.008,Cycling
-0.088,-0.82,0.064,Cycling
0.024,-0.984,0.188,Cycling
-0.06,-1.228,0.216,Cycling
-0.16,-1.288,0.192,Cycling
-0.128,-0.98,0.136,Cycling
0.068,-0.964,0.068,Cycling
0.132,-1.244,0.104,Cycling
-0.112,-1.172,0.336,Cycling
-0.112,-1.064,0.116,Cycling
0.072,-0.988,0.084,Cycling
-0.128,-1.528,0.384,Cycling
-0.096,-1.412,0.268,Cycling
-0.104,-1.152,0.1,Cycling
0,-1.032,0.144,Cycling
0.024,-1.076,0.18,Cycling
-0.208,-1.624,0.304,Cycling
-0.308,-0.976,0.168,Cycling
-0.16,-1.096,0.06,Cycling
-0.104,-0.876,0.104,Cycling
-0.384,-1.336,0.232,Cycling
0.336,-1.608,0.036,Cycling
0.084,-0.564,0.26,Cycling
-0.652,-0.136,-0.012,Cycling
-0.316,-1.292,0.144,Cycling
-0.02,-0.716,0.072,Cycling
-0.124,-1.48,0.196,Cycling
-0.016,-1.016,-0.06,Cycling
0.008,-1.08,0.052,Cycling
-0.216,-0.796,0.036,Cycling
-0.128,-1.032,0.1,Cycling
-0.256,-1.364,0.404,Cycling
-0.336,-1.26,0.18,Cycling
-0.248,-1.012,0.368,Cycling
0.008,-1.088,0.096,Cycling
-0.28,-0.88,-0.072,Cycling
-0.016,-0.844,0.016,Cycling
-0.2,-0.916,0.108,Cycling
-0.288,-1.276,0.24,Cycling
-0.292,-0.876,0.216,Cycling
-0.24,-0.968,0.072,Cycling
-0.152,-1.076,0.224,Cycling
-0.408,-1.424,0.148,Cycling
0.176,-1.24,0.072,Cycling
-0.088,-0.364,-0.072,Cycling
-0.432,-0.8,0.08,Cycling
-0.072,-0.916,0.08,Cycling
-0.32,-1.048,0.204,Cycling
-0.22,-1.676,0.152,Cycling
-0.136,-0.956,0.112,Cycling
-0.16,-0.892,0.068,Cycling
-0.164,-0.844,0.048,Cycling
-0.2,-1.068,0.364,Cycling
-0.124,-1.204,0.116,Cycling
-0.136,-1.272,0.196,Cycling
-0.22,-1.472,0.216,Cycling
-0.188,-1.32,0.292,Cycling
0.052,-0.744,-0.06,Cycling
-0.048,-0.772,-0.028,Cycling
-0.136,-0.896,0.128,Cycling
-0.116,-0.616,0.052,Cycling
-0.052,-1.168,0.152,Cycling
-0.224,-1.06,0.068,Cycling
-0.192,-0.908,0.088,Cycling
-0.06,-0.88,0.068,Cycling
0.004,-0.928,0.044,Cycling
-0.06,-1.04,0.268,Cycling
-0.164,-1.056,0.236,Cycling
-0.228,-0.996,0.164,Cycling
-0.064,-0.872,0.02,Cycling
-0.148,-0.996,0.116,Cycling
-0.172,-1.024,-0.016,Cycling
0.108,-0.8,0,Cycling
0.188,-0.92,0.144,Cycling
