x,y,z,class
-0.232,-0.976,0.348,Standing
-0.056,-0.996,0.316,Standing
-0.06,-0.976,0.332,Standing
-0.1,-0.948,0.36,Standing
-0.044,-0.988,0.344,Standing
-0.056,-0.976,0.336,Standing
-0.052,-0.972,0.34,Standing
-0.044,-0.976,0.356,Standing
-0.056,-0.972,0.336,Standing
-0.044,-0.976,0.328,Standing
-0.06,-0.976,0.328,Standing
-0.056,-0.976,0.336,Standing
-0.056,-0.972,0.332,Standing
-0.06,-0.976,0.34,Standing
-0.048,-0.972,0.336,Standing
-0.06,-0.972,0.34,Standing
-0.06,-0.972,0.332,Standing
-0.052,-0.972,0.348,Standing
-0.064,-0.976,0.336,Standing
-0.08,-0.976,0.316,Standing
-0.052,-0.976,0.34,Standing
-0.024,-0.976,0.34,Standing
-0.044,-0.972,0.336,Standing
-0.076,-0.972,0.348,Standing
-0.048,-0.98,0.324,Standing
-0.048,-0.972,0.348,Standing
-0.068,-0.976,0.328,Standing
-0.104,-0.98,0.344,Standing
-0.124,-0.964,0.332,Standing
-0.1,-0.968,0.332,Standing
-0.124,-0.98,0.328,Standing
-0.1,-0.972,0.336,Standing
-0.1,-0.964,0.332,Standing
-0.136,-0.964,0.324,Standing
-0.096,-0.976,0.336,Standing
-0.132,-0.968,0.344,Standing
-0.124,-0.964,0.34,Standing
-0.132,-0.968,0.34,Standing
-0.124,-0.964,0.332,Standing
-0.112,-0.968,0.344,Standing
-0.108,-0.972,0.344,Standing
-0.108,-0.964,0.348,Standing
-0.108,-0.964,0.356,Standing
-0.108,-0.964,0.348,Standing
-0.112,-0.96,0.36,Standing
-0.104,-0.96,0.348,Standing
-0.108,-0.964,0.36,Standing
-0.108,-0.976,0.32,Standing
-0.068,-0.984,0.368,Standing
-0.024,-0.98,0.324,Standing
-0.048,-0.984,0.284,Standing
-0.132,-0.956,0.332,Standing
-0.056,-0.964,0.068,Standing
0.02,-1.028,0.284,Standing
-0.052,-1.012,0.324,Standing
-0.056,-0.964,0.36,Standing
-0.06,-0.968,0.352,Standing
-0.004,-0.984,0.308,Standing
-0.008,-0.992,0.32,Standing
0,-0.984,0.3,Standing
-0.004,-0.992,0.308,Standing
-0.008,-0.984,0.324,Standing
0,-0.984,0.324,Standing
0.004,-0.984,0.328,Standing
0,-0.996,0.308,Standing
0,-0.98,0.316,Standing
0.016,-0.996,0.32,Standing
0.032,-0.988,0.336,Standing
0.012,-0.972,0.296,Standing
-0.048,-0.972,0.336,Standing
-0.012,-0.988,0.324,Standing
-0.016,-0.984,0.312,Standing
-0.02,-0.976,0.324,Standing
-0.04,-0.976,0.328,Standing
-0.04,-0.964,0.34,Standing
-0.02,-0.988,0.332,Standing
-0.028,-0.976,0.34,Standing
-0.04,-0.976,0.328,Standing
-0.032,-0.98,0.348,Standing
-0.036,-0.972,0.336,Standing
-0.06,-0.992,0.32,Standing
-0.056,-0.988,0.296,Standing
0.044,-0.992,0.296,Standing
-0.008,-0.976,0.332,Standing
-0.052,-0.972,0.324,Standing
-0.048,-0.968,0.332,Standing
-0.076,-0.98,0.348,Standing
-0.1,-0.956,0.3,Standing
0.008,-0.992,0.3,Standing
0.024,-1,0.3,Standing
0.008,-0.992,0.304,Standing
-0.02,-1.012,0.324,Standing
-0.04,-0.988,0.34,Standing
-0.06,-0.988,0.308,Standing
-0.02,-0.988,0.28,Standing
-0.016,-0.992,0.304,Standing
0.012,-0.98,0.312,Standing
0.004,-0.992,0.308,Standing
-0.012,-0.976,0.312,Standing
-0.02,-0.984,0.316,Standing
-0.012,-0.992,0.308,Standing
-0.004,-0.972,0.316,Standing
-0.008,-0.968,0.324,Standing
-0.04,-0.972,0.324,Standing
-0.044,-0.988,0.316,Standing
-0.016,-0.984,0.32,Standing
-0.02,-0.988,0.324,Standing
0,-0.98,0.32,Standing
0.02,-0.992,0.288,Standing
0.008,-0.992,0.324,Standing
0.02,-0.976,0.328,Standing
0.024,-0.98,0.324,Standing
0.008,-0.984,0.34,Standing
-0.024,-0.98,0.332,Standing
-0.048,-0.968,0.328,Standing
-0.072,-0.992,0.324,Standing
-0.06,-0.992,0.32,Standing
-0.06,-0.972,0.32,Standing
-0.084,-0.964,0.352,Standing
-0.056,-0.984,0.312,Standing
-0.064,-0.972,0.316,Standing
-0.06,-0.98,0.34,Standing
-0.004,-1.044,0.288,Standing
-0.2,-0.94,0.348,Standing
-0.036,-0.98,0.332,Standing
-0.004,-0.996,0.288,Standing
-0.004,-0.988,0.296,Standing
0.012,-1.004,0.292,Standing
-0.016,-0.968,0.172,Standing
-0.088,-1.072,0.248,Standing
0.04,-0.996,0.3,Standing
-0.08,-1.012,0.412,Standing
0.04,-0.952,0.368,Standing
0,-0.968,0.368,Standing
0,-1.004,0.316,Standing
0.004,-0.988,0.316,Standing
0.004,-0.984,0.312,Standing
0.016,-0.976,0.316,Standing
0.024,-0.984,0.332,Standing
0.02,-0.992,0.328,Standing
0,-0.984,0.328,Standing
0,-0.98,0.328,Standing
0,-0.976,0.332,Standing
-0.008,-0.976,0.32,Standing
-0.016,-0.988,0.324,Standing
-0.032,-0.972,0.344,Standing
0.024,-0.98,0.328,Standing
-0.012,-0.984,0.352,Standing
-0.052,-0.984,0.316,Standing
0,-0.972,0.348,Standing
-0.004,-0.972,0.332,Standing
-0.012,-0.98,0.328,Standing
-0.008,-0.98,0.328,Standing
0,-0.984,0.32,Standing
-0.008,-0.984,0.328,Standing
-0.008,-0.988,0.324,Standing
-0.004,-0.984,0.316,Standing
0.008,-0.988,0.316,Standing
-0.004,-0.988,0.332,Standing
-0.004,-0.984,0.328,Standing
-0.004,-0.976,0.328,Standing
-0.008,-0.988,0.324,Standing
-0.02,-0.988,0.316,Standing
-0.032,-0.988,0.316,Standing
-0.012,-0.988,0.328,Standing
-0.016,-0.984,0.332,Standing
-0.036,-0.98,0.316,Standing
-0.02,-0.988,0.32,Standing
-0.024,-0.976,0.324,Standing
-0.032,-0.976,0.32,Standing
-0.032,-0.976,0.324,Standing
-0.028,-0.976,0.324,Standing
-0.028,-0.984,0.312,Standing
-0.016,-0.984,0.32,Standing
-0.004,-0.98,0.316,Standing
-0.008,-0.98,0.336,Standing
-0.012,-0.984,0.328,Standing
-0.012,-0.98,0.324,Standing
-0.004,-0.98,0.34,Standing
-0.02,-0.972,0.332,Standing
-0.012,-0.98,0.344,Standing
-0.024,-0.98,0.324,Standing
-0.02,-0.98,0.324,Standing
-0.116,-1.04,0.076,Standing
-0.124,-1.072,0.048,Standing
-0.132,-1.052,0.04,Standing
-0.12,-1.048,0.072,Standing
-0.108,-1.056,0.088,Standing
-0.06,-1.056,0.104,Standing
-0.064,-1.04,0.112,Standing
-0.044,-1.044,0.116,Standing
-0.056,-1.044,0.124,Standing
-0.068,-1.04,0.124,Standing
-0.06,-1.04,0.132,Standing
-0.064,-1.036,0.116,Standing
-0.052,-1.04,0.136,Standing
-0.06,-1.04,0.14,Standing
-0.048,-1.036,0.14,Standing
-0.072,-1.036,0.172,Standing
-0.096,-1.04,0.168,Standing
-0.072,-1.044,0.156,Standing
-0.072,-1.048,0.164,Standing
-0.096,-1.032,0.176,Standing
-0.088,-1.032,0.156,Standing
-0.072,-1.04,0.144,Standing
-0.052,-1.032,0.152,Standing
-0.08,-1.032,0.144,Standing
-0.08,-1.04,0.112,Standing
-0.076,-1.048,0.128,Standing
-0.06,-1.04,0.14,Standing
-0.072,-1.04,0.124,Standing
-0.084,-1.032,0.128,Standing
-0.092,-1.036,0.128,Standing
-0.088,-1.052,0.14,Standing
-0.072,-1.048,0.14,Standing
-0.08,-1.032,0.14,Standing
-0.088,-1.04,0.14,Standing
-0.088,-1.04,0.148,Standing
-0.064,-1.044,0.156,Standing
-0.08,-1.04,0.148,Standing
-0.092,-1.028,0.116,Standing
-0.072,-1.048,0.136,Standing
-0.104,-1.032,0.096,Standing
-0.112,-1.056,0.084,Standing
-0.092,-1.048,0.076,Standing
-0.08,-1.064,0,Standing
-0.204,-1.112,-0.216,Standing
0.244,-1.116,-0.372,Standing
0.512,-1.008,0.052,Standing
0.452,-0.948,0.04,Standing
0.372,-0.968,0.236,Standing
0.404,-0.984,0.264,Standing
0.324,-0.972,0.184,Standing
0.316,-0.996,0.14,Standing
0.272,-1.012,0.14,Standing
0.348,-1.008,0.136,Standing
0.344,-0.992,0.16,Standing
0.312,-1,0.156,Standing
0.316,-1.016,0.12,Standing
0.32,-1.016,0.148,Standing
0.308,-1.008,0.156,Standing
0.32,-1.012,0.148,Standing
0.344,-1.004,0.148,Standing
0.34,-0.992,0.132,Standing
0.324,-1.004,0.16,Standing
0.328,-1,0.16,Standing
0.324,-0.992,0.152,Standing
0.324,-1.004,0.164,Standing
0.316,-1.008,0.124,Standing
0.324,-1.028,0.132,Standing
0.3,-1.012,0.132,Standing
0.308,-1.016,0.132,Standing
0.288,-1.016,0.132,Standing
0.3,-1.008,0.136,Standing
0.296,-1.012,0.132,Standing
0.284,-1.012,0.124,Standing
0.292,-1.02,0.128,Standing
0.3,-1.016,0.128,Standing
0.296,-1.008,0.128,Standing
0.32,-1.004,0.116,Standing
0.324,-0.992,0.092,Standing
0.328,-1.024,0.08,Standing
0.336,-1.004,0.112,Standing
0.32,-1.008,0.128,Standing
0.312,-1.016,0.104,Standing
0.308,-1.02,0.072,Standing
0.312,-1.012,0.084,Standing
0.292,-1.012,0.08,Standing
0.304,-1.012,0.088,Standing
0.32,-1.012,0.1,Standing
0.316,-1.036,0.092,Standing
0.284,-1.016,0.096,Standing
0.3,-1.02,0.088,Standing
0.288,-1.024,0.088,Standing
0.284,-1.024,0.104,Standing
0.28,-1.012,0.104,Standing
0.308,-1.028,0.096,Standing
0.304,-1.028,0.08,Standing
0.3,-1.008,0.096,Standing
0.3,-1.016,0.096,Standing
0.292,-1.02,0.1,Standing
0.292,-1.02,0.096,Standing
0.284,-1.02,0.096,Standing
0.264,-1.032,0.1,Standing
0.304,-1.016,0.104,Standing
0.308,-1.016,0.096,Standing
0.304,-1.016,0.104,Standing
0.276,-1.028,0.092,Standing
0.296,-1.024,0.1,Standing
0.292,-1.02,0.112,Standing
0.284,-1.02,0.104,Standing
0.288,-1.024,0.104,Standing
0.292,-1.02,0.1,Standing
0.288,-1.02,0.1,Standing
0.276,-1.036,0.076,Standing
0.252,-1.028,0.084,Standing
0.272,-1.024,0.092,Standing
0.276,-1.024,0.112,Standing
0.24,-1.04,0.084,Standing
0.308,-1.012,0.1,Standing
0.26,-0.988,0.092,Standing
0.268,-1.028,0.108,Standing
0.28,-1.044,0.1,Standing
0.276,-1.028,0.124,Standing
0.288,-1.016,0.112,Standing
0.292,-1.012,0.104,Standing
0.272,-1.044,0.096,Standing
0.276,-0.996,0.088,Standing
0.216,-1.032,0.08,Standing
0.268,-1.016,0.116,Standing
0.344,-1,0.116,Standing
0.324,-0.976,0.128,Standing
0.236,-1.02,0.1,Standing
0.3,-1.02,0.1,Standing
0.296,-1.036,0.048,Standing
0.296,-1.024,0.104,Standing
0.276,-1.024,0.124,Standing
0.284,-1.02,0.104,Standing
0.284,-1.016,0.104,Standing
0.28,-1.024,0.104,Standing
0.284,-1.02,0.12,Standing
0.292,-1.02,0.116,Standing
0.296,-1.012,0.116,Standing
0.272,-1.02,0.108,Standing
0.288,-1.024,0.1,Standing
0.292,-1.016,0.112,Standing
0.28,-1.028,0.108,Standing
0.3,-1.016,0.104,Standing
0.288,-1.02,0.116,Standing
0.296,-1,0.116,Standing
0.304,-1.012,0.112,Standing
0.304,-1,0.14,Standing
0.324,-1.008,0.112,Standing
0.324,-1.016,0.12,Standing
0.34,-1.02,0.116,Standing
0.368,-1.016,0.144,Standing
0.328,-1.04,0.108,Standing
0.372,-0.988,0.18,Standing
0.384,-0.96,0.168,Standing
0.352,-0.988,0.128,Standing
0.32,-1,0.112,Standing
0.3,-1.02,0.088,Standing
0.308,-1.016,0.104,Standing
0.284,-1.024,0.112,Standing
0.292,-1.016,0.112,Standing
0.28,-1.028,0.132,Standing
0.296,-1.016,0.116,Standing
0.288,-1.02,0.12,Standing
0.304,-1.02,0.108,Standing
0.292,-1.02,0.108,Standing
0.288,-1.016,0.108,Standing
0.304,-1.012,0.112,Standing
0.292,-1.02,0.104,Standing
0.288,-1.016,0.128,Standing
0.304,-1.008,0.116,Standing
0.292,-1.02,0.124,Standing
0.304,-1.016,0.116,Standing
0.292,-1.02,0.112,Standing
0.284,-1.012,0.104,Standing
0.288,-1.024,0.092,Standing
0.288,-1.028,0.108,Standing
0.276,-1.008,0.108,Standing
0.3,-1.012,0.116,Standing
0.296,-1.016,0.132,Standing
0.3,-1.016,0.124,Standing
0.304,-1.02,0.128,Standing
0.312,-1.016,0.116,Standing
0.276,-1.02,0.124,Standing
0.312,-1.008,0.124,Standing
0.292,-1.004,0.12,Standing
0.272,-1.008,0.108,Standing
0.296,-1.02,0.104,Standing
