Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.54045,1.3627,0.54911,3.0466,1.1605,0.19978,5.0719,4.2098,0.625,0.27404,0.34895,0.43185,0.75498,0.035848,0.24248
1.2885,1.1243,1.5668,2.0226,1.517,0.43379,12.082,3.4561,0.625,0.47508,0.34065,0.39775,0.96954,0.024127,0.12858
0.86784,1.4145,0.95595,3.1854,1.4254,0.53074,10.133,4.6091,0.625,0.34767,0.51056,0.54917,0.78102,0.018439,0.26645
0.41755,1.1757,0.62547,2.2843,1.0177,0.20002,4.0301,3.7399,0.5,0.16313,0.079083,0.44132,0.86603,0.036033,0.14063
1.4704,0.99104,2.4465,1.9187,1.6036,0.97336,12.487,2.4644,0.625,0.29301,0.26184,0.39227,0.8124,0.022026,0.10537
0.74285,1.2301,1.1949,2.9897,1.2221,0.95045,4.6004,3.4427,0.625,0.37387,0.4116,0.52389,0.74833,0.018616,0.21153
0.98195,1.4356,1.0399,0.82517,1.3402,0.18285,7.6565,4.0579,0.625,0.40837,0.80317,0.79765,0.93808,0.017704,0.22951
0.63706,1.6538,0.59655,2.8168,1.4601,0.44757,10.224,4.4056,0.75,0.47022,0.49812,0.53336,0.8775,0.031603,0.29769
0.66979,1.4071,0.64123,2.742,1.267,0.12536,8.3287,4.2205,0.5,0.14028,0.20211,0.47373,0.70711,0.02727,0.23459
1.2304,1.1873,1.6507,1.8414,1.5177,0.73342,11.779,2.7552,0.5,0.66451,0.16758,0.37737,0.98489,0.015433,0.1418
0.44693,1.2793,0.53747,1.9515,1.0783,0.21149,4.2698,4.1569,0.625,0.30865,0.30446,0.41756,0.83666,0.0083775,0.214
1.0055,1.7381,0.98584,1.8605,1.593,0.34704,8.8598,4.2443,0.625,0.089803,0.27103,0.44702,0.8124,0.045422,0.31254
0.59187,1.1994,0.69058,1.9803,1.0532,0.11325,4.0594,4.0884,0.625,0.22721,0.18346,0.37594,0.75498,0.032683,0.18839
0.8718,1.6582,0.8591,2.5184,1.5907,0.10144,13.657,5.4766,0.375,0.088752,0.36263,0.37971,0.67082,0.01116,0.36009
0.68709,1.2712,0.84665,2.2619,1.1565,0.13501,4.3148,3.3278,0.5,0.35921,0.46961,0.54099,0.70711,0.034634,0.17754
0.9236,1.4894,0.91905,1.6945,1.5261,0.74344,12.901,4.0787,0.625,0.15987,0.37216,0.45551,0.75498,0.049925,0.23524
0.84262,1.2662,0.89902,1.7101,1.2388,0.18624,5.2477,3.925,0.625,0.10319,0.38128,0.48837,0.70711,0.028342,0.17991
0.84676,1.3695,0.81802,2.6807,1.3699,0.23194,9.9305,4.5686,0.625,0.051394,0.19514,0.40428,0.78102,0.038381,0.23085
1.2256,1.1501,1.5476,1.8112,1.4173,0.46693,8.2217,3.0746,0.5,0.56509,0.22414,0.4252,0.8775,0.033507,0.14417
0.74802,1.4463,0.70548,3.0389,1.3554,0.31408,8.7214,4.71,0.625,0.11696,0.17871,0.44653,0.78102,0.025789,0.26471
0.75919,1.5979,0.80899,3.0785,1.4236,0.48877,8.4157,4.8453,0.5,0.32239,0.70193,0.70853,0.94868,0.054487,0.28685
0.97096,1.1769,1.1471,1.6295,1.3217,0.64056,8.2286,4.1545,0.625,0.6181,0.11871,0.35713,0.61644,0.035325,0.20495
1.0023,0.85572,1.5672,2.9157,1.1782,0.23771,6.8191,3.0653,0.875,0.29622,0.49353,0.56013,0.61644,0.028575,0.10719
1.079,1.2964,1.3128,2.6465,1.3676,0.21656,6.6881,3.6835,0.75,0.45667,0.61709,0.58592,1.01,0.060502,0.19245
1.0314,1.353,1.2066,3.0887,1.4317,0.45917,8.5161,3.391,0.75,0.30756,0.81446,0.77043,0.76811,0.043423,0.18606
0.89938,0.97037,1.3013,3.0071,1.1776,0.59656,6.6858,3.0625,0.75,0.37021,0.36446,0.48836,0.91104,0.045461,0.13256
1.1079,0.99479,1.4964,3.0172,1.2655,0.2,6.865,2.8016,0.875,0.39982,0.49182,0.53606,0.93808,0.016815,0.10707
0.80626,1.1799,1.0483,2.4452,1.2275,0.33493,7.4326,2.5368,0.875,0.50946,0.41944,0.41253,1.1358,0.015707,0.14346
1.036,0.96595,1.3176,3.0933,1.2103,0.21467,6.5276,3.2415,0.75,0.41339,0.53575,0.60327,1.005,0.024513,0.11532
0.96427,0.99938,1.3618,1.8598,1.2451,0.42912,7.9085,2.8507,1,0.37385,0.65894,0.68771,1.0198,0.014399,0.11954
